LATY DD offset,LONGX DD offset,sitename CDE,Demand,sitename CDE,Year
37.7605,-122.192,Community United Elementary,41.1%,Community United Elementary,2017-18
37.7614,-122.194,Coliseum College Prep Academy,222.9%,Coliseum College Prep Academy,2017-18
37.8043,-122.244,Cleveland Elementary,128.8%,Cleveland Elementary,2017-18
37.8457,-122.252,Claremont Middle,103.2%,Claremont Middle,2017-18
37.8507,-122.242,Chabot Elementary,171.3%,Chabot Elementary,2017-18
37.7599,-122.164,Castlemont High,43.3%,Castlemont High,2017-18
37.7946,-122.174,Carl B. Munck Elementary,11.4%,Carl B. Munck Elementary,2017-18
37.7756,-122.167,Burckhalter Elementary,11.9%,Burckhalter Elementary,2017-18
37.7348,-122.189,Brookfield Elementary,33.3%,Brookfield Elementary,2017-18
37.7674,-122.207,Bridges Academy,31.0%,Bridges Academy,2017-18
37.8001,-122.207,Bret Harte Middle,44.4%,Bret Harte Middle,2017-18
37.8005,-122.237,Bella Vista Elementary,24.1%,Bella Vista Elementary,2017-18
,,Alliance Academy,58.2%,Alliance Academy,2017-18
37.7886,-122.205,Allendale Elementary,31.1%,Allendale Elementary,2017-18
37.7532,-122.186,ACORN Woodland Elementary,70.9%,ACORN Woodland Elementary,2017-18
