LATY DD offset,LONGX DD offset,sitename CDE,Demand,sitename CDE,Year
37.8142,-122.26,Westlake Middle,56.8%,Westlake Middle,2017-18
37.809,-122.283,West Oakland Middle,69.9%,West Oakland Middle,2017-18
37.7821,-122.224,Urban Promise Academy,80.0%,Urban Promise Academy,2017-18
37.7844,-122.219,United for Success Academy,38.8%,United for Success Academy,2017-18
37.8362,-122.212,Thornhill Elementary,124.2%,Thornhill Elementary,2017-18
37.7804,-122.232,Think College Now,44.2%,Think College Now,2017-18
37.8178,-122.265,Street Academy (Alternative),25.0%,Street Academy (Alternative),2017-18
37.7982,-122.164,Skyline High,54.2%,Skyline High,2017-18
37.8021,-122.211,Sequoia Elementary,130.2%,Sequoia Elementary,2017-18
37.8471,-122.264,Sankofa United,,Sankofa United,2017-18
,,Sankofa Academy,19.1%,Sankofa Academy,2017-18
,,Roots International Academy,51.7%,Roots International Academy,2017-18
37.7909,-122.238,Roosevelt Middle,70.2%,Roosevelt Middle,2017-18
37.7525,-122.178,Rise Community,18.4%,Rise Community,2017-18
37.7969,-122.187,Redwood Heights Elementary,107.1%,Redwood Heights Elementary,2017-18
37.7467,-122.162,Reach Academy,29.7%,Reach Academy,2017-18
37.8083,-122.298,Prescott,7.7%,Prescott,2017-18
37.8292,-122.249,Piedmont Avenue Elementary,31.0%,Piedmont Avenue Elementary,2017-18
37.8491,-122.258,Peralta Elementary,196.3%,Peralta Elementary,2017-18
37.7656,-122.166,Parker Elementary,7.7%,Parker Elementary,2017-18
37.8318,-122.254,Oakland Technical High,202.6%,Oakland Technical High,2017-18
,,Oakland School of Language,20.0%,Oakland School of Language,2017-18
37.8335,-122.261,Oakland International High,51.7%,Oakland International High,2017-18
37.805,-122.236,Oakland High,51.0%,Oakland High,2017-18
37.7534,-122.18,New Highland Academy,56.7%,New Highland Academy,2017-18
37.8197,-122.202,Montera Middle,91.5%,Montera Middle,2017-18
37.8315,-122.213,Montclair Elementary,153.6%,Montclair Elementary,2017-18
37.7969,-122.256,MetWest High,347.6%,MetWest High,2017-18
37.7804,-122.198,Melrose Leadership Academy,116.2%,Melrose Leadership Academy,2017-18
37.8179,-122.279,McClymonds High,18.4%,McClymonds High,2017-18
37.8058,-122.283,"Martin Luther King, Jr. Elementary",23.4%,"Martin Luther King, Jr. Elementary",2017-18
37.7653,-122.179,Markham Elementary,14.8%,Markham Elementary,2017-18
37.7922,-122.223,Manzanita SEED Elementary,52.9%,Manzanita SEED Elementary,2017-18
37.793,-122.225,Manzanita Community,26.4%,Manzanita Community,2017-18
37.7279,-122.177,Madison Park Academy TK-5,14.8%,Madison Park Academy TK-5,2017-18
37.7263,-122.178,Madison Park Academy 6-12,105.5%,Madison Park Academy 6-12,2017-18
37.8002,-122.267,Lincoln Elementary,134.1%,Lincoln Elementary,2017-18
37.786,-122.218,LIFE Academy,216.7%,LIFE Academy,2017-18
37.7929,-122.197,Laurel Elementary,33.7%,Laurel Elementary,2017-18
37.7958,-122.258,La Escuelita Elementary,41.6%,La Escuelita Elementary,2017-18
,,Kaiser Elementary,70.8%,Kaiser Elementary,2017-18
37.818,-122.203,Joaquin Miller Elementary,110.8%,Joaquin Miller Elementary,2017-18
37.7796,-122.23,International Community,71.2%,International Community,2017-18
37.7659,-122.155,"Independent Study, Sojourner Truth",,"Independent Study, Sojourner Truth",2017-18
37.7616,-122.151,Howard Elementary,16.2%,Howard Elementary,2017-18
37.7736,-122.203,Horace Mann Elementary,23.9%,Horace Mann Elementary,2017-18
37.8232,-122.275,Hoover Elementary,22.0%,Hoover Elementary,2017-18
37.8404,-122.233,Hillcrest Elementary,176.5%,Hillcrest Elementary,2017-18
37.7644,-122.195,Greenleaf Elementary,53.3%,Greenleaf Elementary,2017-18
37.7531,-122.125,Grass Valley Elementary,22.4%,Grass Valley Elementary,2017-18
37.7787,-122.211,Global Family,69.1%,Global Family,2017-18
37.8053,-122.219,Glenview Elementary,60.4%,Glenview Elementary,2017-18
37.7868,-122.236,Garfield Elementary,31.1%,Garfield Elementary,2017-18
37.7597,-122.195,Futures Elementary,18.2%,Futures Elementary,2017-18
37.7963,-122.214,Fruitvale Elementary,26.6%,Fruitvale Elementary,2017-18
37.771,-122.184,Frick United Academy of Language,,Frick United Academy of Language,2017-18
,,Frick Middle,50.0%,Frick Middle,2017-18
37.7736,-122.209,Fremont High,22.9%,Fremont High,2017-18
37.7382,-122.175,Fred T. Korematsu Discovery Academy,13.1%,Fred T. Korematsu Discovery Academy,2017-18
37.7939,-122.249,Franklin Elementary,38.0%,Franklin Elementary,2017-18
37.7374,-122.173,Esperanza Elementary,56.6%,Esperanza Elementary,2017-18
37.7523,-122.184,EnCompass Academy Elementary,35.9%,EnCompass Academy Elementary,2017-18
37.8346,-122.257,Emerson Elementary,30.4%,Emerson Elementary,2017-18
37.7474,-122.167,Elmhurst United Middle,,Elmhurst United Middle,2017-18
,,Elmhurst Community Prep,59.3%,Elmhurst Community Prep,2017-18
37.8037,-122.23,Edna Brewer Middle,203.9%,Edna Brewer Middle,2017-18
37.7591,-122.174,East Oakland Pride Elementary,22.4%,East Oakland Pride Elementary,2017-18
37.8111,-122.227,Crocker Highlands Elementary,126.7%,Crocker Highlands Elementary,2017-18
