LATY DD offset,LONGX DD offset,sitename CDE,Demand,sitename CDE,Year
37.8142,-122.26,Westlake Middle,73.4%,Westlake Middle,2016-17
37.809,-122.283,West Oakland Middle,97.5%,West Oakland Middle,2016-17
37.7821,-122.224,Urban Promise Academy,92.9%,Urban Promise Academy,2016-17
37.7844,-122.219,United for Success Academy,47.7%,United for Success Academy,2016-17
37.8362,-122.212,Thornhill Elementary,111.8%,Thornhill Elementary,2016-17
37.7804,-122.232,Think College Now,78.4%,Think College Now,2016-17
37.8178,-122.265,Street Academy (Alternative),,Street Academy (Alternative),2016-17
37.7982,-122.164,Skyline High,68.3%,Skyline High,2016-17
37.8021,-122.211,Sequoia Elementary,148.4%,Sequoia Elementary,2016-17
37.8471,-122.264,Sankofa United,,Sankofa United,2016-17
,,Sankofa Academy,14.3%,Sankofa Academy,2016-17
,,Roots International Academy,37.5%,Roots International Academy,2016-17
37.7909,-122.238,Roosevelt Middle,72.5%,Roosevelt Middle,2016-17
37.7525,-122.178,Rise Community,15.9%,Rise Community,2016-17
37.7969,-122.187,Redwood Heights Elementary,125.0%,Redwood Heights Elementary,2016-17
37.7467,-122.162,Reach Academy,29.9%,Reach Academy,2016-17
37.8083,-122.298,Prescott,23.4%,Prescott,2016-17
37.8292,-122.249,Piedmont Avenue Elementary,39.1%,Piedmont Avenue Elementary,2016-17
37.8491,-122.258,Peralta Elementary,216.3%,Peralta Elementary,2016-17
37.7656,-122.166,Parker Elementary,24.3%,Parker Elementary,2016-17
37.8318,-122.254,Oakland Technical High,204.9%,Oakland Technical High,2016-17
,,Oakland School of Language,,Oakland School of Language,2016-17
37.8335,-122.261,Oakland International High,45.1%,Oakland International High,2016-17
37.805,-122.236,Oakland High,46.1%,Oakland High,2016-17
37.7534,-122.18,New Highland Academy,41.5%,New Highland Academy,2016-17
37.8197,-122.202,Montera Middle,123.7%,Montera Middle,2016-17
37.8315,-122.213,Montclair Elementary,152.9%,Montclair Elementary,2016-17
37.7969,-122.256,MetWest High,540.0%,MetWest High,2016-17
37.7804,-122.198,Melrose Leadership Academy,92.0%,Melrose Leadership Academy,2016-17
37.8179,-122.279,McClymonds High,23.8%,McClymonds High,2016-17
