school_name,Enrolled_17_18
Achieve Academy,675
Alternatives in Action,183
American Indian Public Charter,146
American Indian Public Charter School II,647
American Indian Public High,360
Arise High,288
ASCEND,487
Aspire Berkley Maynard Academy,568
Aspire College Academy,278
Aspire ERES Academy,217
Aspire Golden State College Prep,609
Aspire Lionel Wilson College Preparatory Academy,515
Aspire Monarch Academy,408
Aspire Triumph Technology Academy,287
Bay Area Technology,322
Corpsmember (Civicorps),71
COVA High,72
CSCE,252
Downtown Charter Academy,275
East Bay Innovation Academy,497
East Oakland Leadership,111
EFC - Cox Academy,587
Envision Academy for Arts & Technology,413
Epic Charter,342
Francophone Charter,190
KIPP Bridge Charter,560
Lazear Charter Academy,463
Learning Without Limits,426
Lighthouse,507
Lighthouse High,260
Lodestar Lighthouse,303
LPS R&D Campus,417
North Oakland Community Charter,226
Oakland Charter Academy,233
Oakland Charter High,412
"Oakland Military Institute, College Prep",719
Oakland School For The Arts,755
Oakland Unity High,346
Oakland Unity Middle,179
Opportunity Charter,23
Roses in Concrete,340
Urban Montessori Charter,448
Vincent Academy,266
Yu Ming Charter,387
ACORN Woodland,300
Allendale,361
Alliance Academy,358
Bella Vista,447
Bret Harte,591
Bridges Academy,442
Brookfield,296
Burckhalter,248
Carl Munck,236
Castlemont HS,858
Chabot,567
Claremont,474
Cleveland,411
Coliseum College Prep Academy,475
Community Day HS,22
Community Day MS,11
Community United,367
Crocker Highlands,473
Dewey Academy,240
East Oakland PRIDE Elementary,351
Edna Brewer,805
Elmhurst Community Prep,371
Emerson,314
EnCompass Academy,326
Esperanza,352
Franklin,702
Fred T. Korematsu,339
Fremont HS,827
Frick,227
Fruitvale,367
Futures Academy,294
Garfield,654
Gateway To College at Laney College,90
Glenview,455
Global Family School,442
Grass Valley,260
Greenleaf,638
Henry J. Kaiser,274
Hillcrest,387
Hoover,278
Horace Mann,345
Howard,214
International Community School,306
Joaquin Miller,435
La Escuelita,417
Lafayette,165
Laurel,510
Life Academy,464
Lincoln,744
Madison Park - Lower,304
Madison Park - Upper,772
Manzanita,438
Manzanita SEED,400
Markham,340
Martin Luther King Jr,269
McClymonds HS,401
Melrose Leadership Academy,508
MetWest,174
Montclair,634
Montera,774
New Highland Academy,351
Oakland HS,"1,568"
Oakland International High School,367
Oakland Technical HS,"1,998"
OUSD NPS School,141
Parker,370
PEC Home and Hospital,7
PEC Young Adult Program,82
Peralta,329
Piedmont Avenue,334
PLACE at Prescott,181
Ralph Bunche High,100
REACH Academy,397
Redwood Heights,362
RISE Community School,242
Roosevelt,548
Roots International Academy,309
Rudsdale Continuation,187
Sankofa Academy,187
Sequoia,436
Skyline HS,"1,756"
Sojourner Truth Independent Study,147
SOL,55
Street Academy,108
Think College Now,307
Thornhill,390
United For Success,359
Urban Promise Academy,372
West Oakland Middle School,202
Westlake,360
