LATY DD offset,LONGX DD offset,sitename CDE,Demand,sitename CDE,Year
37.7929,-122.197,Laurel Elementary,45.2%,Laurel Elementary,2018-19
37.7958,-122.258,La Escuelita Elementary,58.1%,La Escuelita Elementary,2018-19
,,Kaiser Elementary,68.3%,Kaiser Elementary,2018-19
37.818,-122.203,Joaquin Miller Elementary,102.8%,Joaquin Miller Elementary,2018-19
37.7796,-122.23,International Community,115.9%,International Community,2018-19
37.7659,-122.155,"Independent Study, Sojourner Truth",,"Independent Study, Sojourner Truth",2018-19
37.7616,-122.151,Howard Elementary,14.8%,Howard Elementary,2018-19
37.7736,-122.203,Horace Mann Elementary,16.7%,Horace Mann Elementary,2018-19
37.8232,-122.275,Hoover Elementary,19.1%,Hoover Elementary,2018-19
37.8404,-122.233,Hillcrest Elementary,183.7%,Hillcrest Elementary,2018-19
37.7644,-122.195,Greenleaf Elementary,81.7%,Greenleaf Elementary,2018-19
37.7531,-122.125,Grass Valley Elementary,33.3%,Grass Valley Elementary,2018-19
37.7787,-122.211,Global Family,56.1%,Global Family,2018-19
37.8053,-122.219,Glenview Elementary,105.3%,Glenview Elementary,2018-19
37.7868,-122.236,Garfield Elementary,43.0%,Garfield Elementary,2018-19
37.7597,-122.195,Futures Elementary,14.9%,Futures Elementary,2018-19
37.7963,-122.214,Fruitvale Elementary,25.0%,Fruitvale Elementary,2018-19
37.771,-122.184,Frick United Academy of Language,,Frick United Academy of Language,2018-19
,,Frick Middle,72.1%,Frick Middle,2018-19
37.7736,-122.209,Fremont High,49.2%,Fremont High,2018-19
37.7382,-122.175,Fred T. Korematsu Discovery Academy,41.4%,Fred T. Korematsu Discovery Academy,2018-19
37.7939,-122.249,Franklin Elementary,39.5%,Franklin Elementary,2018-19
37.7374,-122.173,Esperanza Elementary,60.6%,Esperanza Elementary,2018-19
37.7523,-122.184,EnCompass Academy Elementary,39.4%,EnCompass Academy Elementary,2018-19
37.8346,-122.257,Emerson Elementary,59.7%,Emerson Elementary,2018-19
37.7474,-122.167,Elmhurst United Middle,,Elmhurst United Middle,2018-19
,,Elmhurst Community Prep,71.5%,Elmhurst Community Prep,2018-19
37.8037,-122.23,Edna Brewer Middle,247.6%,Edna Brewer Middle,2018-19
37.7591,-122.174,East Oakland Pride Elementary,35.4%,East Oakland Pride Elementary,2018-19
37.8111,-122.227,Crocker Highlands Elementary,201.4%,Crocker Highlands Elementary,2018-19
37.7605,-122.192,Community United Elementary,65.2%,Community United Elementary,2018-19
37.7614,-122.194,Coliseum College Prep Academy,181.3%,Coliseum College Prep Academy,2018-19
37.8043,-122.244,Cleveland Elementary,158.5%,Cleveland Elementary,2018-19
37.8457,-122.252,Claremont Middle,137.0%,Claremont Middle,2018-19
37.8507,-122.242,Chabot Elementary,156.4%,Chabot Elementary,2018-19
37.7599,-122.164,Castlemont High,68.5%,Castlemont High,2018-19
37.7946,-122.174,Carl B. Munck Elementary,32.1%,Carl B. Munck Elementary,2018-19
37.7756,-122.167,Burckhalter Elementary,10.8%,Burckhalter Elementary,2018-19
37.7348,-122.189,Brookfield Elementary,42.2%,Brookfield Elementary,2018-19
37.7674,-122.207,Bridges Academy,38.6%,Bridges Academy,2018-19
37.8001,-122.207,Bret Harte Middle,52.1%,Bret Harte Middle,2018-19
37.8005,-122.237,Bella Vista Elementary,38.5%,Bella Vista Elementary,2018-19
,,Alliance Academy,77.1%,Alliance Academy,2018-19
37.7886,-122.205,Allendale Elementary,42.3%,Allendale Elementary,2018-19
37.7532,-122.186,ACORN Woodland Elementary,113.2%,ACORN Woodland Elementary,2018-19
