LATY DD offset,LONGX DD offset,sitename CDE,Demand,sitename CDE,Year
37.8142,-122.26,Westlake Middle,67.1%,Westlake Middle,2018-19
37.809,-122.283,West Oakland Middle,76.8%,West Oakland Middle,2018-19
37.7821,-122.224,Urban Promise Academy,104.0%,Urban Promise Academy,2018-19
37.7844,-122.219,United for Success Academy,39.1%,United for Success Academy,2018-19
37.8362,-122.212,Thornhill Elementary,122.9%,Thornhill Elementary,2018-19
37.7804,-122.232,Think College Now,60.0%,Think College Now,2018-19
37.8178,-122.265,Street Academy (Alternative),45.0%,Street Academy (Alternative),2018-19
37.7982,-122.164,Skyline High,63.8%,Skyline High,2018-19
37.8021,-122.211,Sequoia Elementary,178.0%,Sequoia Elementary,2018-19
37.8471,-122.264,Sankofa United,,Sankofa United,2018-19
,,Sankofa Academy,14.7%,Sankofa Academy,2018-19
,,Roots International Academy,32.0%,Roots International Academy,2018-19
37.7909,-122.238,Roosevelt Middle,78.8%,Roosevelt Middle,2018-19
37.7525,-122.178,Rise Community,35.6%,Rise Community,2018-19
37.7969,-122.187,Redwood Heights Elementary,132.8%,Redwood Heights Elementary,2018-19
37.7467,-122.162,Reach Academy,47.9%,Reach Academy,2018-19
37.8083,-122.298,Prescott,12.8%,Prescott,2018-19
37.8292,-122.249,Piedmont Avenue Elementary,46.3%,Piedmont Avenue Elementary,2018-19
37.8491,-122.258,Peralta Elementary,218.0%,Peralta Elementary,2018-19
37.7656,-122.166,Parker Elementary,20.0%,Parker Elementary,2018-19
37.8318,-122.254,Oakland Technical High,244.6%,Oakland Technical High,2018-19
,,Oakland School of Language,55.6%,Oakland School of Language,2018-19
37.8335,-122.261,Oakland International High,30.2%,Oakland International High,2018-19
37.805,-122.236,Oakland High,67.3%,Oakland High,2018-19
37.7534,-122.18,New Highland Academy,45.8%,New Highland Academy,2018-19
37.8197,-122.202,Montera Middle,109.6%,Montera Middle,2018-19
37.8315,-122.213,Montclair Elementary,186.1%,Montclair Elementary,2018-19
37.7969,-122.256,MetWest High,470.0%,MetWest High,2018-19
37.7804,-122.198,Melrose Leadership Academy,140.7%,Melrose Leadership Academy,2018-19
37.8179,-122.279,McClymonds High,22.9%,McClymonds High,2018-19
37.8058,-122.283,"Martin Luther King, Jr. Elementary",37.7%,"Martin Luther King, Jr. Elementary",2018-19
37.7653,-122.179,Markham Elementary,31.8%,Markham Elementary,2018-19
37.7922,-122.223,Manzanita SEED Elementary,80.5%,Manzanita SEED Elementary,2018-19
37.793,-122.225,Manzanita Community,33.3%,Manzanita Community,2018-19
37.7279,-122.177,Madison Park Academy TK-5,30.0%,Madison Park Academy TK-5,2018-19
37.7263,-122.178,Madison Park Academy 6-12,112.3%,Madison Park Academy 6-12,2018-19
37.8002,-122.267,Lincoln Elementary,146.3%,Lincoln Elementary,2018-19
37.786,-122.218,LIFE Academy,238.7%,LIFE Academy,2018-19
