school_name,Enrolled_16_17
Achieve Academy,719
Alternatives in Action,171
American Indian Public Charter,144
American Indian Public Charter School II,644
American Indian Public High,260
Arise High,274
ASCEND,461
Aspire Berkley Maynard Academy,519
Aspire College Academy,290
Aspire ERES Academy,216
Aspire Golden State College Prep,571
Aspire Lionel Wilson College Preparatory Academy,515
Aspire Monarch Academy,402
Aspire Triumph Technology Academy,283
Bay Area Technology,294
Castlemont Primary,72
Conservatory Of Vocal/Instrumental Arts,208
Corpsmember (Civicorps),76
COVA High,58
CSCE,208
Downtown Charter Academy,223
East Bay Innovation Academy,419
East Oakland Leadership,115
EFC - Cox Academy,588
Envision Academy for Arts & Technology,403
Epic Charter,433
Francophone Charter,171
KIPP Bridge Charter,587
Lazear Charter Academy,462
Learning Without Limits,421
Lighthouse,486
Lighthouse High,260
Lodestar Lighthouse,234
LPS R&D Campus,353
North Oakland Community Charter,222
Oakland Charter Academy,201
Oakland Charter High,445
"Oakland Military Institute, College Prep",683
Oakland School For The Arts,779
Oakland Unity High,345
Oakland Unity Middle,149
Roses in Concrete,275
Urban Montessori Charter,374
Vincent Academy,288
Yu Ming Charter,357
ACORN Woodland,298
Allendale,371
Alliance Academy,328
Bella Vista,457
Bret Harte,500
Bridges Academy,436
Brookfield,322
Burckhalter,245
Carl Munck,239
Castlemont HS,759
Chabot,562
Claremont,446
Cleveland,412
Coliseum College Prep Academy,475
Community Day HS,21
Community Day MS,5
Community United,388
Crocker Highlands,459
Dewey Academy,228
East Oakland PRIDE Elementary,362
Edna Brewer,810
Elmhurst Community Prep,383
Emerson,320
EnCompass Academy,315
Esperanza,337
Franklin,715
Fred T. Korematsu,391
Fremont HS,764
Frick,227
Fruitvale,372
Futures Academy,296
Garfield,603
Gateway To College at Laney College,94
Glenview,439
Global Family School,451
Grass Valley,260
Greenleaf,602
Henry J. Kaiser,269
Hillcrest,377
Hoover,282
Horace Mann,377
Howard,214
International Community School,301
Joaquin Miller,436
La Escuelita,404
Lafayette,158
Laurel,518
Life Academy,471
Lincoln,739
Madison Park - Lower,290
Madison Park - Upper,768
Manzanita,432
Manzanita SEED,431
Markham,363
Martin Luther King Jr,303
McClymonds HS,372
Melrose Leadership Academy,505
MetWest,171
Montclair,643
Montera,778
New Highland Academy,354
Oakland HS,"1,562"
Oakland International High School,360
Oakland Technical HS,"2,031"
OUSD NPS School,139
Parker,288
PEC Home and Hospital,7
PEC Infant/Pre-K,1
PEC Young Adult Program,52
Peralta,319
Piedmont Avenue,331
PLACE at Prescott,207
Ralph Bunche High,96
REACH Academy,384
Redwood Heights,352
RISE Community School,259
Roosevelt,524
Roots International Academy,326
Rudsdale Continuation,138
Sankofa Academy,317
Sequoia,435
Skyline HS,"1,843"
Sojourner Truth Independent Study,118
Street Academy,100
Think College Now,305
Thornhill,391
United For Success,349
Urban Promise Academy,370
West Oakland Middle School,179
Westlake,383
